Polymer Molecular Weight (g/mol),Magnetization (A/m)
0,3.9912890320024577,PVC-P
2,3.6504787563949574,PVC-P
13,3.181040836952722,PVC-P
16,3.170310740860076,PVC-P
17,3.1675281165451366,PVC-P
19,3.1651006561216235,PVC-P
0,0.2808761602133718,PVA
2,0.13719819012866463,PVA
13,-0.39152367122628645,PVA
16,-0.4825454640388853,PVA
17,-0.49212234590277804,PVA
19,-0.5162503347226735,PVA
0,-5.338572166871396,Poly(BA-a)
2,-5.863625382821974,Poly(BA-a)
13,-6.236684555298382,Poly(BA-a)
16,-6.290839052648474,Poly(BA-a)
17,-6.313025725374924,Poly(BA-a)
19,-6.345348084576614,Poly(BA-a)
0,1.7888981764673013,P(BA-a)
2,1.8540581129634173,P(BA-a)
13,4.772963369234569,P(BA-a)
16,1.8777637049210343,P(BA-a)
17,2.4115896515523643,P(BA-a)
19,10.017611354634285,P(BA-a)
0,-3.812311275517229,PTFCE
2,-4.243839395168318,PTFCE
13,-4.764575870630304,PTFCE
16,-4.777156054209345,PTFCE
17,-4.778821026175057,PTFCE
19,-4.781600856984475,PTFCE
