Glass Transition Temperature (°C),Coefficient Of Thermal Expansion (1/K)
1.6584153768821808,-3.210365257563551,Polyrotaxane
5.244021669469491,-3.604151356165259,Polyrotaxane
6.038180683075343,-3.531128196891885,Polyrotaxane
10.527122498784436,-3.7380625535435787,Polyrotaxane
1.6584153768821808,6.138749964673654,PTFCE
5.244021669469491,5.889683240832178,PTFCE
6.038180683075343,6.424258731376936,PTFCE
10.527122498784436,8.222251921370022,PTFCE
1.6584153768821808,5.55638511171706,poly-HEMA
5.244021669469491,9.751012177404078,poly-HEMA
6.038180683075343,11.096217509322056,poly-HEMA
10.527122498784436,33.409366584374354,poly-HEMA
1.6584153768821808,-5.203450164361171,TPU
5.244021669469491,-4.926320683816687,TPU
6.038180683075343,-3.4750127870181102,TPU
10.527122498784436,-2.1935692218868486,TPU
1.6584153768821808,4.371527228734294,PMMA
5.244021669469491,4.953248640728738,PMMA
6.038180683075343,4.844549841062164,PMMA
10.527122498784436,4.9451098244900935,PMMA
