Reaction Time (h),Polarization Resistance (Ω·m²)
3,-0.7110759132848203,Poly(vinyl alcohol)
7,0.5523488315804337,Poly(vinyl alcohol)
10,1.5511993041828478,Poly(vinyl alcohol)
14,2.859238027033549,Poly(vinyl alcohol)
16,3.4891128487811995,Poly(vinyl alcohol)
19,-11.059255524534391,Poly(vinyl alcohol)
3,-4.036091851247307,PBA-a
7,-5.879300555240084,PBA-a
10,-1.1941993458120583,PBA-a
14,-1.4168264249819646,PBA-a
16,-0.2870755963374787,PBA-a
19,2.4076631060093874,PBA-a
3,-0.514175764831478,Poly(caprolactone)
7,4.38927471116828,Poly(caprolactone)
10,16.264830266188703,Poly(caprolactone)
14,31.23466598719951,Poly(caprolactone)
16,110.9455421566985,Poly(caprolactone)
19,125.2443795794243,Poly(caprolactone)
3,1.8653774744558063,PHFP
7,1.550901958556396,PHFP
10,1.4961426789634216,PHFP
14,1.3214311311312443,PHFP
16,1.2587381634556396,PHFP
19,1.2224604616771697,PHFP
3,-5.690833350545699,PVA
7,-5.553194745594475,PVA
10,-5.964329249953272,PVA
14,-1.3229486341248453,PVA
16,-3.394536077288168,PVA
19,1.471830467066324,PVA
