Film Thickness (µm),Heat Capacity (J/K)
7.952897375738419,0.15970826837044105,Ba0.7Sr0.3TiO3/Poly(styrene-b-butadiene)
8.337609107229955,0.2155331327521397,Ba0.7Sr0.3TiO3/Poly(styrene-b-butadiene)
9.797545123180578,0.056203900355750624,Ba0.7Sr0.3TiO3/Poly(styrene-b-butadiene)
11.629177700271345,0.012273112089051408,Ba0.7Sr0.3TiO3/Poly(styrene-b-butadiene)
19.142009900000858,-0.1385196862992494,Ba0.7Sr0.3TiO3/Poly(styrene-b-butadiene)
1.8748613210130816,-4.542958424233074,"Iron(II,III) oxide/Poly(styrene-b-butadiene)"
4.43203338850992,-4.685559555636123,"Iron(II,III) oxide/Poly(styrene-b-butadiene)"
8.820255743797903,-4.91247554261973,"Iron(II,III) oxide/Poly(styrene-b-butadiene)"
10.549646615990873,-4.936832183110744,"Iron(II,III) oxide/Poly(styrene-b-butadiene)"
19.53046175364279,-4.977134849817436,"Iron(II,III) oxide/Poly(styrene-b-butadiene)"
2.27709296247681,6.980692934423849,Alumina/Poly(styrene-b-butadiene)
3.604336287177039,6.702480300057765,Alumina/Poly(styrene-b-butadiene)
9.148688608190696,6.460551583760695,Alumina/Poly(styrene-b-butadiene)
11.380303319861024,6.431775308810156,Alumina/Poly(styrene-b-butadiene)
12.098768889423253,6.427186371182992,Alumina/Poly(styrene-b-butadiene)
0,-6.353174949871868,graphitic nanoplatelets/Poly(styrene-b-butadiene)
4,-6.768831583964698,graphitic nanoplatelets/Poly(styrene-b-butadiene)
9,-7.044773944350168,graphitic nanoplatelets/Poly(styrene-b-butadiene)
16,-7.10384456092984,graphitic nanoplatelets/Poly(styrene-b-butadiene)
19,-7.108138199158906,graphitic nanoplatelets/Poly(styrene-b-butadiene)
0,-3.993304816303778,single-walled CNTs/Poly(styrene-b-butadiene)
2,-3.2323842788745876,single-walled CNTs/Poly(styrene-b-butadiene)
5,-2.9342834058259117,single-walled CNTs/Poly(styrene-b-butadiene)
6,-2.527691729783744,single-walled CNTs/Poly(styrene-b-butadiene)
12,-1.944541279769214,single-walled CNTs/Poly(styrene-b-butadiene)
