Drying Time (h),Electrical Resistivity (Ω·m)
1,4.5542683148388114,0.76% exfoliated graphite/Poly(ethyl acrylate)
2,4.647221905631869,0.76% exfoliated graphite/Poly(ethyl acrylate)
4,4.291303111610813,0.76% exfoliated graphite/Poly(ethyl acrylate)
7,4.148728103438277,0.76% exfoliated graphite/Poly(ethyl acrylate)
1,0.7143194253243708,0.34% exfoliated graphite/Poly(ethyl acrylate)
2,0.5404564034601625,0.34% exfoliated graphite/Poly(ethyl acrylate)
4,0.34355930752440117,0.34% exfoliated graphite/Poly(ethyl acrylate)
7,0.1691987745742546,0.34% exfoliated graphite/Poly(ethyl acrylate)
1,8.354713388637077,0.71% exfoliated graphite/Poly(ethyl acrylate)
2,7.784289915469137,0.71% exfoliated graphite/Poly(ethyl acrylate)
4,7.65635070590206,0.71% exfoliated graphite/Poly(ethyl acrylate)
7,7.516000177514949,0.71% exfoliated graphite/Poly(ethyl acrylate)
