Curing Temperature (°C),Dynamic Viscosity (Pa·s)
1,-0.723155010905648,OFG/Bisphenol E cyanate ester resin
2,-0.8544728781798563,OFG/Bisphenol E cyanate ester resin
6,-1.1775679939693062,OFG/Bisphenol E cyanate ester resin
15,-1.4318380074008688,OFG/Bisphenol E cyanate ester resin
1,-6.442331256099091,Silver nitrate/Bisphenol E cyanate ester resin
2,-5.296577517152212,Silver nitrate/Bisphenol E cyanate ester resin
6,-1.8000403405639807,Silver nitrate/Bisphenol E cyanate ester resin
15,74.03085921784796,Silver nitrate/Bisphenol E cyanate ester resin
1,-4.3097668254967925,nanosilica/Bisphenol E cyanate ester resin
2,-4.6035568586873605,nanosilica/Bisphenol E cyanate ester resin
6,-4.889459933449599,nanosilica/Bisphenol E cyanate ester resin
15,-5.0557368879919595,nanosilica/Bisphenol E cyanate ester resin
1,4.112447017849218,Sodium titanate nanotubes/Bisphenol E cyanate ester resin
2,3.9777312396522397,Sodium titanate nanotubes/Bisphenol E cyanate ester resin
6,3.646891012335746,Sodium titanate nanotubes/Bisphenol E cyanate ester resin
15,3.2456936143237014,Sodium titanate nanotubes/Bisphenol E cyanate ester resin
1,-0.6118611849824709,AuNPs/Bisphenol E cyanate ester resin
2,-0.4680097644008496,AuNPs/Bisphenol E cyanate ester resin
6,0.9526480372557375,AuNPs/Bisphenol E cyanate ester resin
15,7.838577968459605,AuNPs/Bisphenol E cyanate ester resin
