Curing Temperature (°C),Thermal Stability (°C)
1,1.1107008438662638,Acetylene black/Nylon 6
5,0.611750450868773,Acetylene black/Nylon 6
7,0.5227926470829324,Acetylene black/Nylon 6
9,0.45879549869813163,Acetylene black/Nylon 6
1,-2.397358486979276,SWCNTs/Nylon 6
5,-2.527579228578265,SWCNTs/Nylon 6
7,-2.6271630103348556,SWCNTs/Nylon 6
9,-2.7962831696383827,SWCNTs/Nylon 6
1,-2.830631028138015,Aluminium dioxide/Nylon 6
5,0.03895370578753843,Aluminium dioxide/Nylon 6
7,4.318844568352555,Aluminium dioxide/Nylon 6
9,13.11722128664859,Aluminium dioxide/Nylon 6
