Ion Beam Dose (Gy),Electrochemical Potential (V)
4.796545421286789,5.196848454472708,Nylon 12
6.019085847436017,5.17858465020845,Nylon 12
18.312303954739374,4.994552099054192,Nylon 12
4.796545421286789,9.09336432609626,Nylon 6(3)T
6.019085847436017,10.097541246851076,Nylon 6(3)T
18.312303954739374,4.745570054226488,Nylon 6(3)T
4.796545421286789,-4.151598118413682,PA 6(3)T
6.019085847436017,-4.22040136911096,PA 6(3)T
18.312303954739374,-4.383431428598596,PA 6(3)T
4.796545421286789,6.505732583229857,bisphenol-A phthalonitrile resin
6.019085847436017,6.4333044378745,bisphenol-A phthalonitrile resin
18.312303954739374,6.27590919653012,bisphenol-A phthalonitrile resin
