Shear Rate (1/s),Magnetic Anisotropy (J/m³)
6,3.738368038109734,0.9% Titanate nanotubes/Nylon 12
8,3.6836124115541247,0.9% Titanate nanotubes/Nylon 12
14,3.614707670553617,0.9% Titanate nanotubes/Nylon 12
15,3.611401320990219,0.9% Titanate nanotubes/Nylon 12
6,7.15234170138134,0.36% Titanate nanotubes/Nylon 12
8,7.069328070854306,0.36% Titanate nanotubes/Nylon 12
14,9.721320798562745,0.36% Titanate nanotubes/Nylon 12
15,8.206399872338546,0.36% Titanate nanotubes/Nylon 12
6,-0.03459519500068686,0.16% Titanate nanotubes/Nylon 12
8,-0.8315428515756675,0.16% Titanate nanotubes/Nylon 12
14,1.9608929123629766,0.16% Titanate nanotubes/Nylon 12
15,0.1294041841157063,0.16% Titanate nanotubes/Nylon 12
