Pressure (Pa),Reduction Potential (V)
0.8729996031266318,3.77829372009473,Lamp black/IMPP
3.383054111900603,3.7842511254595883,Lamp black/IMPP
6.073985183943124,3.555451758273225,Lamp black/IMPP
9.244930913403175,3.436677782466549,Lamp black/IMPP
14.254081230353833,3.279449072604634,Lamp black/IMPP
0.8729996031266318,4.308289866610589,CCTO/IMPP
3.383054111900603,3.9858633484581456,CCTO/IMPP
6.073985183943124,3.756367540111788,CCTO/IMPP
9.244930913403175,3.6416406041258966,CCTO/IMPP
14.254081230353833,3.594198647817363,CCTO/IMPP
0.8729996031266318,0.10126365597486298,Sodium titanate nanotubes/IMPP
3.383054111900603,0.22021602375755256,Sodium titanate nanotubes/IMPP
6.073985183943124,0.8650894560816242,Sodium titanate nanotubes/IMPP
9.244930913403175,1.9802906960747628,Sodium titanate nanotubes/IMPP
14.254081230353833,3.578684025877168,Sodium titanate nanotubes/IMPP
0.8729996031266318,-0.6153506512014975,Lead(II) sulfide/IMPP
3.383054111900603,-1.023189055647984,Lead(II) sulfide/IMPP
6.073985183943124,-1.2843568515924495,Lead(II) sulfide/IMPP
9.244930913403175,-1.4946319705917679,Lead(II) sulfide/IMPP
14.254081230353833,-1.6165288423636202,Lead(II) sulfide/IMPP
0.8729996031266318,-2.214217326408313,Calcium copper titanate/IMPP
3.383054111900603,-2.62633980341122,Calcium copper titanate/IMPP
6.073985183943124,-2.938610862173497,Calcium copper titanate/IMPP
9.244930913403175,-3.102188964102943,Calcium copper titanate/IMPP
14.254081230353833,-3.23215700573847,Calcium copper titanate/IMPP
