Aspect Ratio,Dielectric Loss
0,-0.24127809326719918,Cellulose acetate butyrate
10,17.91699411032507,Cellulose acetate butyrate
15,-19.158373434350437,Cellulose acetate butyrate
10,3.756154786997324,PA 11
14,3.6515779477226196,PA 11
17,3.5931649213702332,PA 11
8,-2.2597645134953104,PBuA
11,-2.3914769846885715,PBuA
16,-2.5504771709532474,PBuA
1,-1.7358822088790007,Unsaturated polyester resin
2,-1.8033876581405168,Unsaturated polyester resin
9,0.6378651041918149,Unsaturated polyester resin
9.14938262386479,-0.39145623558060727,Poly(butylene)
15.755134069528436,6.505110657720779,Poly(butylene)
18.037637112613734,4.663843472638084,Poly(butylene)
