Reaction Time (h),Glass Transition Temperature (°C)
3,7.100233456614186,0.26% Single-wall carbon nanotubes/Poly(hexafluoro propylene)
10,11.529161232289734,0.26% Single-wall carbon nanotubes/Poly(hexafluoro propylene)
12,33.86810273084635,0.26% Single-wall carbon nanotubes/Poly(hexafluoro propylene)
13,27.0341108703104,0.26% Single-wall carbon nanotubes/Poly(hexafluoro propylene)
15,65.3390852623198,0.26% Single-wall carbon nanotubes/Poly(hexafluoro propylene)
17,-117.69722802068762,0.26% Single-wall carbon nanotubes/Poly(hexafluoro propylene)
3,6.012756822078652,0.32% Single-wall carbon nanotubes/Poly(hexafluoro propylene)
10,7.826821652077993,0.32% Single-wall carbon nanotubes/Poly(hexafluoro propylene)
12,10.08335304359985,0.32% Single-wall carbon nanotubes/Poly(hexafluoro propylene)
13,7.153939123840465,0.32% Single-wall carbon nanotubes/Poly(hexafluoro propylene)
15,7.136744696784523,0.32% Single-wall carbon nanotubes/Poly(hexafluoro propylene)
17,8.107887102838156,0.32% Single-wall carbon nanotubes/Poly(hexafluoro propylene)
