Coefficient Of Thermal Expansion (1/K),Specific Heat (J/(g·K))
1,6.705527534817202,0.53% montmorillonite/PEA
2,6.879693258610262,0.53% montmorillonite/PEA
3,6.188214902834549,0.53% montmorillonite/PEA
6,5.739948153191614,0.53% montmorillonite/PEA
1,-1.1168453283611486,0.98% montmorillonite/PEA
2,-1.0348889345971126,0.98% montmorillonite/PEA
3,-0.8140128952014113,0.98% montmorillonite/PEA
6,-1.0342423031705346,0.98% montmorillonite/PEA
1,3.9492170100374757,0.1% montmorillonite/PEA
2,4.573970297134386,0.1% montmorillonite/PEA
3,3.9616910847078115,0.1% montmorillonite/PEA
6,7.392547466157752,0.1% montmorillonite/PEA
1,5.349780418082258,0.98% montmorillonite/PEA
2,5.334636078060027,0.98% montmorillonite/PEA
3,5.150672584776263,0.98% montmorillonite/PEA
6,4.980439670824495,0.98% montmorillonite/PEA
