Ion Beam Dose (Gy),Glass Transition Temperature (°C)
7,13.235683899448834,BR
10,23.484015418386882,BR
12,54.28568314481184,BR
14,1.1030439423878953,BR
1.8474757148885201,6.957575915747582,S-EB-S
2.326466625374819,8.500404948213163,S-EB-S
2.967711544838676,8.081332716577059,S-EB-S
8.688335259709113,19.30330285118508,S-EB-S
3.977343239142135,-4.738258608251413,Polyurethane
9.414360175992297,-5.017466213289007,Polyurethane
9.823067010572421,-5.0213766518757135,Polyurethane
17.570617089785515,-5.070606702315302,Polyurethane
1,2.2225058030411637,PU
2,2.1266959783986255,PU
15,1.4032917236854534,PU
19,1.39583468125791,PU
