Solvent Concentration (M),Zero-shear Viscosity (Pa·s)
4,-3.6012647436170937,0.51% Single-wall carbon nanotubes
6,-3.722969241326279,0.51% Single-wall carbon nanotubes
14,-3.952691843228585,0.51% Single-wall carbon nanotubes
16,-3.982470240280889,0.51% Single-wall carbon nanotubes
4,2.809500760704046,0.01% Single-wall carbon nanotubes
6,2.631454613852664,0.01% Single-wall carbon nanotubes
14,2.4899797515871334,0.01% Single-wall carbon nanotubes
16,2.484218215912513,0.01% Single-wall carbon nanotubes
4,0.014119043138082155,0.56% Single-wall carbon nanotubes
6,0.010285909592379683,0.56% Single-wall carbon nanotubes
14,-0.1677725021581104,0.56% Single-wall carbon nanotubes
16,-0.17512264717289253,0.56% Single-wall carbon nanotubes
