Time (s),Porosity (%)
8,-0.9815388151495952,0.07% exfoliated graphite/PET
10,-1.0249013910091789,0.07% exfoliated graphite/PET
11,-1.0638074532343402,0.07% exfoliated graphite/PET
13,-1.1348997912259793,0.07% exfoliated graphite/PET
4.055407104229856,-0.7172197651036227,0.51% exfoliated graphite/PET
12.405068337034574,51.891613813861106,0.51% exfoliated graphite/PET
17.78008020730902,261.96358653171154,0.51% exfoliated graphite/PET
18.12014906332402,-118.4249227892346,0.51% exfoliated graphite/PET
9.347158447263915,22.822410152889635,0.92% exfoliated graphite/PET
14.084220425164467,36.16289541590809,0.92% exfoliated graphite/PET
14.437455598134992,119.15928881297253,0.92% exfoliated graphite/PET
16.047499799084132,-53.56038614417984,0.92% exfoliated graphite/PET
4,5.781607279255375,0.82% exfoliated graphite/PET
6,5.553244487097626,0.82% exfoliated graphite/PET
7,5.451424226657548,0.82% exfoliated graphite/PET
11,5.329602015509433,0.82% exfoliated graphite/PET
0,1.9894755064227296,0.78% exfoliated graphite/PET
2,1.9025208678267793,0.78% exfoliated graphite/PET
11,1.3555540162060633,0.78% exfoliated graphite/PET
18,1.1966069168597264,0.78% exfoliated graphite/PET
