Volume Fraction (%),Magnetoresistance
4,6.494683041810987,PVP
13,6.104163604343223,PVP
17,6.004176753569914,PVP
18,5.999594137035753,PVP
4,8.158981490601471,S-EB-S
13,37.4676484197005,S-EB-S
17,77.05439732561287,S-EB-S
18,-139.7057502523001,S-EB-S
4,-2.0462528839699345,PVAL
13,-2.3295227864243357,PVAL
17,-2.401276961123793,PVAL
18,-2.43317160148997,PVAL
4,-0.11358406116361514,PBAT
13,-0.3629714493620919,PBAT
17,-0.3780018830979137,PBAT
18,-0.3798067478051382,PBAT
4,-2.7354354960249285,Poly(butylene terephthalate)
13,66.53897362950158,Poly(butylene terephthalate)
17,89.01248302350798,Poly(butylene terephthalate)
18,8.860295723431111,Poly(butylene terephthalate)
