wt% (%),Modulus Of Elasticity (GPa)
14.546611648843978,3.473198309810611,Molybdenum disulfide/PBI
14.756950923317081,-0.5646334295307209,Molybdenum disulfide/PBI
14.918184015008498,-3.1133770053101,Molybdenum disulfide/PBI
14.546611648843978,3.5230600946404307,MWNTs/PBI
14.756950923317081,3.5122541817732795,MWNTs/PBI
14.918184015008498,3.5087880993270324,MWNTs/PBI
14.546611648843978,5.593629923053458,Cloisite/PBI
14.756950923317081,5.591555902533561,Cloisite/PBI
14.918184015008498,5.592235595827,Cloisite/PBI
14.546611648843978,-4.868058029282807,MgO/PBI
14.756950923317081,63.940190663902925,MgO/PBI
14.918184015008498,110.7056268021712,MgO/PBI
