Film Thickness (µm),Kinematic Viscosity (mm²/s)
1,-3.7739994273761037,0.56% rGO/aPP
3,-4.077309870544546,0.56% rGO/aPP
9,-4.2053235074423005,0.56% rGO/aPP
13,-4.3318140232951645,0.56% rGO/aPP
15,-4.371086976640822,0.56% rGO/aPP
1.8192185429171492,8.535053550149772,0.34% rGO/aPP
10.504244917909206,17.334200400142088,0.34% rGO/aPP
10.716873134051104,44.32115101661212,0.34% rGO/aPP
12.338135348385247,57.64898603435385,0.34% rGO/aPP
19.411657205556637,-163.52530852071592,0.34% rGO/aPP
1.1881938058904251,6.14897528943815,0.67% rGO/aPP
5.877943312942295,5.631622514632833,0.67% rGO/aPP
6.743402953502555,5.576967542973285,0.67% rGO/aPP
12.29865954631321,5.30410824210974,0.67% rGO/aPP
14.904043168241882,5.249094564148149,0.67% rGO/aPP
1.3930588306742142,-4.702549024330252,0.09% rGO/aPP
3.3485993054368057,-5.066563541110207,0.09% rGO/aPP
7.171385870595333,-5.2539841274335615,0.09% rGO/aPP
12.108894434055832,-5.338341253630254,0.09% rGO/aPP
19.139065331013416,-5.362621164703586,0.09% rGO/aPP
4,4.376005383539093,0.24% rGO/aPP
9,5.110554686009959,0.24% rGO/aPP
17,4.005265046299709,0.24% rGO/aPP
18,9.71004860338785,0.24% rGO/aPP
19,12.894691402653711,0.24% rGO/aPP
