Heat Treatment Temperature (°C),Compressive Modulus (GPa)
0.8578198816020555,-4.885661369191733,0.51% Cellulose/Poly(glycidyl methacrylate)
3.340567770009968,-4.392433884110241,0.51% Cellulose/Poly(glycidyl methacrylate)
8.470205247896994,-4.0675129261656755,0.51% Cellulose/Poly(glycidyl methacrylate)
12.587179341884555,-3.408008455784022,0.51% Cellulose/Poly(glycidyl methacrylate)
19.07117481228118,-4.588001416527748,0.51% Cellulose/Poly(glycidyl methacrylate)
7.947912051462948,-7.563035008195673,0.59% Cellulose/Poly(glycidyl methacrylate)
11.730309669762686,-7.625329974192369,0.59% Cellulose/Poly(glycidyl methacrylate)
13.66614862841363,-7.636445343872341,0.59% Cellulose/Poly(glycidyl methacrylate)
14.56860061649888,-7.642027353459594,0.59% Cellulose/Poly(glycidyl methacrylate)
14.623428318052131,-7.640680619808369,0.59% Cellulose/Poly(glycidyl methacrylate)
1.5515920997848354,-2.2032505093235275,0.52% Cellulose/Poly(glycidyl methacrylate)
9.502410939631423,-2.099594402458522,0.52% Cellulose/Poly(glycidyl methacrylate)
9.82117573290287,-1.7912803628673875,0.52% Cellulose/Poly(glycidyl methacrylate)
15.42963954532464,0.12410861454466549,0.52% Cellulose/Poly(glycidyl methacrylate)
15.512731332676243,7.177506422342393,0.52% Cellulose/Poly(glycidyl methacrylate)
3.185255939169538,2.077773043536581,0.44% Cellulose/Poly(glycidyl methacrylate)
5.940574069244189,2.0093692582361946,0.44% Cellulose/Poly(glycidyl methacrylate)
6.48905041499016,1.989358620545707,0.44% Cellulose/Poly(glycidyl methacrylate)
7.959427991230008,1.9396326185462445,0.44% Cellulose/Poly(glycidyl methacrylate)
9.894365422673513,1.8413924142055471,0.44% Cellulose/Poly(glycidyl methacrylate)
