Aspect Ratio,Loss Factor
0,-0.963809692401303,0.84% Mineral oil
2,-0.6304633136358944,0.84% Mineral oil
3,-1.0934229415187375,0.84% Mineral oil
7,-1.3533499283175967,0.84% Mineral oil
9,-1.2925497890591942,0.84% Mineral oil
16,-1.568531725492192,0.84% Mineral oil
0,-6.124299598308161,0.73% Mineral oil
2,-6.012719070959698,0.73% Mineral oil
3,-6.288410298160672,0.73% Mineral oil
7,-6.457765579342196,0.73% Mineral oil
9,-6.527157614070017,0.73% Mineral oil
16,-6.7105133872533065,0.73% Mineral oil
