Nanoparticle Mass (%),Corrosion Rate (mm/year)
4,7.5083480789269625,
10,7.253377426158351,
11,7.2332046502411975,
14,7.214674469145441,
18,7.2031758599008135,
4,5.329670388602107,
10,3.9830573778105838,
11,7.628901532786573,
14,10.600534556856262,
18,12.268072362870564,
4,7.8484478941239075,
10,7.529546363733752,
11,7.46947608195346,
14,7.357956159356571,
18,7.303990861015279,
4,6.271628681985423,
10,6.051461340938192,
11,6.045169086207437,
14,6.018604357683478,
18,6.0074498974676285,
