Heat Capacity (J/K),Elongation At Break (%)
7.184305036113045,-4.12883851335478,SWCNT/poly-HEMA
9.986014092248025,-4.2184530772101905,SWCNT/poly-HEMA
10.151982691250982,-4.21774369057646,SWCNT/poly-HEMA
11.161284328359331,-4.229138982422658,SWCNT/poly-HEMA
15.370935930620725,-4.252669363428229,SWCNT/poly-HEMA
7.184305036113045,-4.120953201198065,Paraffin oil/poly-HEMA
9.986014092248025,-1.9780682264201168,Paraffin oil/poly-HEMA
10.151982691250982,-2.7850101832163974,Paraffin oil/poly-HEMA
11.161284328359331,-3.8244463989233934,Paraffin oil/poly-HEMA
15.370935930620725,-5.638388297756204,Paraffin oil/poly-HEMA
7.184305036113045,-3.71786921528974,rGO/poly-HEMA
9.986014092248025,-3.767123751863576,rGO/poly-HEMA
10.151982691250982,-3.7694602331942826,rGO/poly-HEMA
11.161284328359331,-3.7836284435121024,rGO/poly-HEMA
15.370935930620725,-3.807225409673138,rGO/poly-HEMA
