Nanoparticle Mass (%),Magnetoresistance
4,10.140698371989341,Nylon 12
5,13.27666021072935,Nylon 12
12,45.82488979858453,Nylon 12
17,19.085587504501042,Nylon 12
19,-87.57884826569882,Nylon 12
4,-6.002227331186656,E-SBR
5,-5.946723072770902,E-SBR
12,-6.304655275353423,E-SBR
17,-6.419297292958641,E-SBR
19,-6.453603689698374,E-SBR
4,2.354020769801064,PB-1
5,2.3303009419652296,PB-1
12,2.0550622542343637,PB-1
17,1.9305424153492585,PB-1
19,1.9021947050623078,PB-1
4,-0.7091247626063892,PTFCE
5,-0.09865187207126391,PTFCE
12,-1.8861675412441103,PTFCE
17,0.40722380147944337,PTFCE
19,17.244414660691266,PTFCE
