Specific Heat Capacity (J/(g·K)),Tensile Modulus (GPa)
3.043339838561623,5.084186446978709,0.23% AuNPs/PET
7.47998920894172,4.672175150331643,0.23% AuNPs/PET
12.254616250160204,4.514482709986689,0.23% AuNPs/PET
14.589476029875392,4.439242280290304,0.23% AuNPs/PET
17.009221945952454,4.395360295363172,0.23% AuNPs/PET
3.043339838561623,-4.727077973723894,0.65% AuNPs/PET
7.47998920894172,-4.96460176228305,0.65% AuNPs/PET
12.254616250160204,-5.0428367424453056,0.65% AuNPs/PET
14.589476029875392,-5.0549323390130825,0.65% AuNPs/PET
17.009221945952454,-5.061316898447321,0.65% AuNPs/PET
3.043339838561623,1.52476980731121,0.74% AuNPs/PET
7.47998920894172,1.1964194221464943,0.74% AuNPs/PET
12.254616250160204,1.121625649995067,0.74% AuNPs/PET
14.589476029875392,1.1085217209991916,0.74% AuNPs/PET
17.009221945952454,1.1022161631408742,0.74% AuNPs/PET
3.043339838561623,6.494598061519179,0.97% AuNPs/PET
7.47998920894172,6.116381392378204,0.97% AuNPs/PET
12.254616250160204,6.0281084309634965,0.97% AuNPs/PET
14.589476029875392,5.965073628151005,0.97% AuNPs/PET
17.009221945952454,5.899786699358306,0.97% AuNPs/PET
3.043339838561623,-2.8674491874703527,0.08% AuNPs/PET
7.47998920894172,-3.200966543610124,0.08% AuNPs/PET
12.254616250160204,-3.268332219216226,0.08% AuNPs/PET
14.589476029875392,-3.2818643167600334,0.08% AuNPs/PET
17.009221945952454,-3.287518736130475,0.08% AuNPs/PET
