Coefficient Of Thermal Expansion (1/K),Corrosion Rate (mm/year)
0,-5.919759174523432,Molybdenum Disulphide/Poly(ether ether ketone)
5,-5.441227244343656,Molybdenum Disulphide/Poly(ether ether ketone)
9,-3.2728792742040946,Molybdenum Disulphide/Poly(ether ether ketone)
14,-7.402111544875994,Molybdenum Disulphide/Poly(ether ether ketone)
0,3.663873453125704,Graphite/Poly(ether ether ketone)
5,3.0952902544441416,Graphite/Poly(ether ether ketone)
9,2.9288748563548848,Graphite/Poly(ether ether ketone)
14,2.7072413215784112,Graphite/Poly(ether ether ketone)
0,1.408051867969514,silica gel/Poly(ether ether ketone)
5,5.250595300955925,silica gel/Poly(ether ether ketone)
9,14.911598629107155,silica gel/Poly(ether ether ketone)
14,70.84912976959221,silica gel/Poly(ether ether ketone)
0,8.592754555366287,CCTO ceramics/Poly(ether ether ketone)
5,9.188617771897526,CCTO ceramics/Poly(ether ether ketone)
9,9.228386761351326,CCTO ceramics/Poly(ether ether ketone)
14,13.478836471246874,CCTO ceramics/Poly(ether ether ketone)
