Calcination Temperature (°C),Permittivity
5,0.67811970965338,Poly(butyl acrylate)
12,0.2762936380047272,Poly(butyl acrylate)
14,0.21285777626736085,Poly(butyl acrylate)
16,0.1810411161591968,Poly(butyl acrylate)
19,0.13354875800250937,Poly(butyl acrylate)
1,-0.5450207994279963,aPP
4,-0.977376743101336,aPP
6,-0.29846950511982007,aPP
8,0.5719660703038083,aPP
19,-0.9035216694583044,aPP
3,-1.1383582273425465,PET
4,-1.288650396398226,PET
5,-1.2911779584553384,PET
8,0.08444923883227862,PET
11,0.028035140625755517,PET
