Time (s),Poisson’s Ratio
2,-1.019314320733268,Nylon 6T
14,-1.574322145944964,Nylon 6T
18,-1.6840163089684759,Nylon 6T
7.140691466544786,-0.7220398614635601,PA 12
9.764715788512257,1.0741537779505088,PA 12
11.907641669270376,0.1736845220977261,PA 12
2.091106476086002,5.900064964606407,Nylon 11
2.112029519091696,6.688777856301305,Nylon 11
14.916825971286887,148.363857577713,Nylon 11
15,-9.037944699248257,Sodium polyacrylate
18,1.196453979404918,Sodium polyacrylate
19,-9.599289660615169,Sodium polyacrylate
