Frequency (Hz),Saturation Magnetization (A/m)
2.0132265677913708,-5.488993828102619,PVAc
12.857878051801809,-5.935776797705404,PVAc
16.732671580300142,-5.951933432256287,PVAc
2.0132265677913708,-0.9844691536849992,NVE
12.857878051801809,-1.3303946377511218,NVE
16.732671580300142,-1.4289339991386565,NVE
2.0132265677913708,-5.680348245135214,Thermoplastic polyurethane
12.857878051801809,-3.2951856672878543,Thermoplastic polyurethane
16.732671580300142,-14.606017071286004,Thermoplastic polyurethane
2.0132265677913708,-5.806728210208755,BR
12.857878051801809,-3.2647955853904636,BR
16.732671580300142,-14.868483128444213,BR
2.0132265677913708,-6.561843990877822,Poly(vinyl alcohol)
12.857878051801809,-2.4874302405160815,Poly(vinyl alcohol)
16.732671580300142,-5.362920579961402,Poly(vinyl alcohol)
