Temperature (°C),Impact Strength (kJ/m²)
1.8418314137038538,4.602860213850061,0.61% BaTiO3/DGEBD Epoxy Resin
2.4491946972713396,4.920747857125091,0.61% BaTiO3/DGEBD Epoxy Resin
5.8383993433365315,7.424781996760666,0.61% BaTiO3/DGEBD Epoxy Resin
8.279291093489418,17.01443531043485,0.61% BaTiO3/DGEBD Epoxy Resin
1.8418314137038538,5.624207485817085,0.47% BaTiO3/DGEBD Epoxy Resin
2.4491946972713396,5.721605412538939,0.47% BaTiO3/DGEBD Epoxy Resin
5.8383993433365315,5.28281476779556,0.47% BaTiO3/DGEBD Epoxy Resin
8.279291093489418,5.186910867943032,0.47% BaTiO3/DGEBD Epoxy Resin
1.8418314137038538,5.806280460085022,0.61% BaTiO3/DGEBD Epoxy Resin
2.4491946972713396,6.273068386017709,0.61% BaTiO3/DGEBD Epoxy Resin
5.8383993433365315,8.795569313394216,0.61% BaTiO3/DGEBD Epoxy Resin
8.279291093489418,14.704503845189748,0.61% BaTiO3/DGEBD Epoxy Resin
