Pressure (Pa),Impact Strength (kJ/m²)
2,-3.515059956622105,Poly(glycidyl methacrylate)
4,-1.2647459888694397,Poly(glycidyl methacrylate)
7,-1.605850845228371,Poly(glycidyl methacrylate)
11,35.96720490581018,Poly(glycidyl methacrylate)
18,-58.14050472602783,Poly(glycidyl methacrylate)
19,-581.4627698845567,Poly(glycidyl methacrylate)
2,8.84004668788321,PA 6(3)T
4,9.902039552627418,PA 6(3)T
7,21.44621201744839,PA 6(3)T
11,22.1518923482174,PA 6(3)T
18,246.76742722745396,PA 6(3)T
19,-237.15316098337638,PA 6(3)T
2,-0.24098698731371782,PMMA-PnBA-PMMA
4,0.5904664997339131,PMMA-PnBA-PMMA
7,0.5672833452580268,PMMA-PnBA-PMMA
11,-0.06616076350778721,PMMA-PnBA-PMMA
18,3.7704552706810244,PMMA-PnBA-PMMA
19,5.568030532869539,PMMA-PnBA-PMMA
