Annealing Temperature (°C),Magnetic Anisotropy (J/m³)
3.124240071628195,1.3825975349989963,SiO2/Cellulose acetate butyrate
10.490046080486653,5.717500625417614,SiO2/Cellulose acetate butyrate
11.90000346792127,6.590326295998974,SiO2/Cellulose acetate butyrate
13.309737694187271,5.692732027678256,SiO2/Cellulose acetate butyrate
3.124240071628195,-1.4349801889037854,graphite oxide/Cellulose acetate butyrate
10.490046080486653,-1.7732739521397862,graphite oxide/Cellulose acetate butyrate
11.90000346792127,-1.790913605780885,graphite oxide/Cellulose acetate butyrate
13.309737694187271,-1.7960940624121378,graphite oxide/Cellulose acetate butyrate
3.124240071628195,2.7371779180910707,Graphite/Cellulose acetate butyrate
10.490046080486653,24.77717585862427,Graphite/Cellulose acetate butyrate
11.90000346792127,62.97753755550124,Graphite/Cellulose acetate butyrate
13.309737694187271,-6.508236103676888,Graphite/Cellulose acetate butyrate
3.124240071628195,-0.23431039909251083,graphitic nanoplatelets/Cellulose acetate butyrate
10.490046080486653,3.58413519489479,graphitic nanoplatelets/Cellulose acetate butyrate
11.90000346792127,39.892408140116125,graphitic nanoplatelets/Cellulose acetate butyrate
13.309737694187271,50.87340531633106,graphitic nanoplatelets/Cellulose acetate butyrate
3.124240071628195,-4.357476466355848,aluminum/Cellulose acetate butyrate
10.490046080486653,-4.676904058701684,aluminum/Cellulose acetate butyrate
11.90000346792127,-4.690850781702561,aluminum/Cellulose acetate butyrate
13.309737694187271,-4.7407590829576325,aluminum/Cellulose acetate butyrate
