UV Exposure Time (h),Remanence (A/m)
0,-2.701309186318473,0.88% talc
9,-3.069498279662938,0.88% talc
10,-3.1265762761937097,0.88% talc
13,-3.212728241251865,0.88% talc
17,-3.311395880377847,0.88% talc
19,-3.3360498750916117,0.88% talc
0,5.557384574990927,0.18% talc
9,7.4864519032865235,0.18% talc
10,8.800403087771834,0.18% talc
13,7.9978043469307,0.18% talc
17,10.84522537931787,0.18% talc
19,19.083429899125665,0.18% talc
0,2.4408405201550227,0.04% talc
9,5.853408015115681,0.04% talc
10,23.689953384576327,0.04% talc
13,1.5378673452219545,0.04% talc
17,-67.75935554447943,0.04% talc
19,-59.21921221862971,0.04% talc
