Strain,Intrinsic Viscosity (dl/g)
2.162673207331296,8.178626266281734,PA 66
10.294124511087063,38.97882509653286,PA 66
10.712628357504714,23.19607766241978,PA 66
10.823385577007393,54.0218528077704,PA 66
13.993104559459791,63.40419378812845,PA 66
4,-4.028823448531537,Poly(butylene terephthalate)
5,-4.1619849686233845,Poly(butylene terephthalate)
13,1.0324804111896508,Poly(butylene terephthalate)
14,-0.10449463722358665,Poly(butylene terephthalate)
16,-3.5377160163561028,Poly(butylene terephthalate)
1.2434515948815217,-0.5913186517029592,PS
2.915865463769347,-0.99622573825735,PS
4.848208545478949,-1.2204702666622453,PS
13.603486517124182,-1.4624239186107233,PS
14.78704205341867,-1.467582838215042,PS
1,1.4697458505925263,UPR
2,1.0983172967236285,UPR
5,1.018359423510144,UPR
10,0.8130393338479152,UPR
17,0.7713740929087696,UPR
0,1.241937422569351,Poly(vinyl butyral)
3,0.5746019593390481,Poly(vinyl butyral)
11,0.1936923589753304,Poly(vinyl butyral)
16,0.16801343855514767,Poly(vinyl butyral)
18,0.16449740541608388,Poly(vinyl butyral)
