Volume Fraction (%),Polarization Resistance (Ω·m²)
2,1.7902032293636783,PVP
8,1.4312221832418632,PVP
11,1.3429975396097862,PVP
13,1.2822708769934943,PVP
15,1.2402678770074065,PVP
19,1.162911665470931,PVP
2,-0.8736689312092705,PET
8,9.911075472688669,PET
11,2.751883516989327,PET
13,33.69722025495026,PET
15,139.62770400832798,PET
19,463.0902974688677,PET
2,1.2208729431611864,PBA-a
8,3.120256027872923,PBA-a
11,3.290944661230306,PBA-a
13,7.050877326960949,PBA-a
15,2.7859968241220177,PBA-a
19,-7.865160885062567,PBA-a
2,4.1660622678051435,PUR
8,15.797715213815716,PUR
11,14.98485068769976,PUR
13,49.238632651058886,PUR
15,72.8261581094112,PUR
19,13.862742761127526,PUR
