Holding Time (min),Modulus Of Elasticity (GPa)
0,6.13939553205169,Thermoplastic polyurethane
5,6.219278054378135,Thermoplastic polyurethane
15,5.813690032331236,Thermoplastic polyurethane
17,5.769785730358526,Thermoplastic polyurethane
0,3.995068190454366,Poly(butyl acrylate)
5,4.916258663654773,Poly(butyl acrylate)
15,9.679129644564451,Poly(butyl acrylate)
17,-7.322634963854588,Poly(butyl acrylate)
0,5.14609853917107,S-SEBS
5,4.211907486188254,S-SEBS
15,3.981999182530342,S-SEBS
17,3.976665555434169,S-SEBS
0,4.552406046249464,PVA
5,4.05829939608297,PVA
15,3.6553491208368536,PVA
17,3.628564996020603,PVA
0,4.265606142685601,P(VDF-CTFE)
5,10.006396692996839,P(VDF-CTFE)
15,127.2063886877419,P(VDF-CTFE)
17,182.68648372651433,P(VDF-CTFE)
