Pressure (Pa),Oxidation Potential (V)
1,6.766381160087027,PAA
2,6.297790885795753,PAA
12,5.714914721990554,PAA
16,5.696032583062529,PAA
17,5.694017185118721,PAA
18,5.6926866262158855,PAA
1,5.187540051337838,PET
2,5.259620719809847,PET
12,4.677809562558601,PET
16,4.595471955129041,PET
17,4.564694959291126,PET
18,4.55488003832719,PET
1,-0.15453460611697745,P(BA-a)
2,0.016445752601228714,P(BA-a)
12,-0.5775009223327322,P(BA-a)
16,-0.5970937695743607,P(BA-a)
17,-0.5994287031985739,P(BA-a)
18,-0.6010374941897783,P(BA-a)
1,-1.4359378628693484,EPDM
2,-0.6163114302178854,EPDM
12,1.5222763106940445,EPDM
16,145.89567789980228,EPDM
17,-66.21121340953859,EPDM
18,341.504645427458,EPDM
1,-2.6094507928099375,iPP
2,-2.1256660918777084,iPP
12,21.57195146633618,iPP
16,230.48092685865495,iPP
17,209.59376925297474,iPP
18,-434.467302622608,iPP
