Loading Concentration (%),Zero-shear Viscosity (Pa·s)
0.16734785706254973,-0.7794026554733333,Cellulose acetate butyrate
3.3018494333454673,-1.0511245125110893,Cellulose acetate butyrate
3.4459766843421136,-0.9048819411565019,Cellulose acetate butyrate
5.909411967147127,-1.1193497135117876,Cellulose acetate butyrate
9.955971943295221,-1.3114725620105163,Cellulose acetate butyrate
14.362922395060757,-1.427648924645363,Cellulose acetate butyrate
5,4.885001579504669,BR
7,4.822455540119428,BR
8,4.780657976106469,BR
9,4.75301555045581,BR
11,4.720094449688119,BR
15,4.697142570679009,BR
0.11256911984152795,-1.7308459876994085,PETP
0.4057310884612919,-2.6054854859431185,PETP
1.1279765555911392,-2.7581373056993153,PETP
2.3616474540501464,-2.695999925571321,PETP
10.474965664894276,-3.2200828436008684,PETP
15.219435652672832,-3.256748671868532,PETP
0,-2.264370091620295,P(VDF-TrFE-CTFE)
1,-2.7544384354297184,P(VDF-TrFE-CTFE)
6,-3.14290083845993,P(VDF-TrFE-CTFE)
11,-3.2799326997587865,P(VDF-TrFE-CTFE)
13,-3.3125879105431584,P(VDF-TrFE-CTFE)
16,-3.3791275429820677,P(VDF-TrFE-CTFE)
