Dielectric Constant,Flexural Modulus (GPa)
2.023517064496647,3.3830447755422437,nanosilica/Polylactic acid
2.9337877063379714,2.9368836975820294,nanosilica/Polylactic acid
15.33561105998843,87.16489610975994,nanosilica/Polylactic acid
5.427521562408952,7.533943671428046,TiNT/Polylactic acid
9.555295568066093,20.93570201735902,TiNT/Polylactic acid
19.340518210270876,-231.75825667131673,TiNT/Polylactic acid
2,3.157058332958139,single-walled CNT/Polylactic acid
12,29.094240311561023,single-walled CNT/Polylactic acid
14,22.814303304359576,single-walled CNT/Polylactic acid
2,-4.625406150642062,silver/Polylactic acid
9,-5.036825246932027,silver/Polylactic acid
15,-5.1616452768390175,silver/Polylactic acid
2,1.7833531668447564,Clay/Polylactic acid
14,1.2139246819422658,Clay/Polylactic acid
15,1.2090793067099859,Clay/Polylactic acid
