Specific Heat Capacity (J/(g·K)),Glass Transition Temperature (°C)
3,5.913512362560004,Triphenyl phosphate/sPP
4,6.761864395450698,Triphenyl phosphate/sPP
13,50.85594037757427,Triphenyl phosphate/sPP
14,-4.8755730530483525,Triphenyl phosphate/sPP
15,98.42671956580114,Triphenyl phosphate/sPP
3,7.250467740474191,silicon dioxide/sPP
4,7.245190629622933,silicon dioxide/sPP
13,6.853317408084825,silicon dioxide/sPP
14,6.840426178110737,silicon dioxide/sPP
15,6.814647870282131,silicon dioxide/sPP
3,-5.3857916763932385,MWCNTs/sPP
4,-5.478121275963358,MWCNTs/sPP
13,-5.860882164948266,MWCNTs/sPP
14,-5.891288773531258,MWCNTs/sPP
15,-5.92344766849248,MWCNTs/sPP
3,-2.909874191419648,Bentonite clay/sPP
4,-3.9681854120520454,Bentonite clay/sPP
13,-2.510824820398815,Bentonite clay/sPP
14,-3.030211586533037,Bentonite clay/sPP
15,-9.430753630894216,Bentonite clay/sPP
