Aging Time (h),Heat Capacity (J/K)
15,-6.309950116194164,graphene platelet/PET
16,-6.312494193916147,graphene platelet/PET
17,-6.314338228906421,graphene platelet/PET
15,6.4762547018749075,Fe3O4/PET
16,6.472742800482698,Fe3O4/PET
17,6.470746048479266,Fe3O4/PET
15,102.41528358226743,graphene oxide/PET
16,236.29593749425692,graphene oxide/PET
17,-10.321881494504122,graphene oxide/PET
15,3.043787675032134,White mineral oil/PET
16,10.967946474965213,White mineral oil/PET
17,17.814751938086314,White mineral oil/PET
