Loading Concentration (%),Toughness (MJ/m³)
2,-6.486267962554874,Bentonite clay/Polyrotaxane
6,-6.548801628871667,Bentonite clay/Polyrotaxane
8,-6.656426926313591,Bentonite clay/Polyrotaxane
11,-6.782082533039908,Bentonite clay/Polyrotaxane
2,6.370929316673032,Fe3O4/Polyrotaxane
6,5.876355547028524,Fe3O4/Polyrotaxane
8,5.815702429577003,Fe3O4/Polyrotaxane
11,5.761432653076083,Fe3O4/Polyrotaxane
2,5.567342636666497,Titanate nanotubes/Polyrotaxane
6,10.993403064322697,Titanate nanotubes/Polyrotaxane
8,16.783637791481674,Titanate nanotubes/Polyrotaxane
11,21.959184884870453,Titanate nanotubes/Polyrotaxane
2,3.3056108729907683,Aluminium dioxide/Polyrotaxane
6,3.6090142344493445,Aluminium dioxide/Polyrotaxane
8,2.3741258702206554,Aluminium dioxide/Polyrotaxane
11,2.859565536697598,Aluminium dioxide/Polyrotaxane
