Heat Treatment Temperature (°C),Passivation Current Density (A/m²)
2,-3.24105850593734,0.34% Cellulose
3,-3.4450095205650118,0.34% Cellulose
17,-3.8080409299338007,0.34% Cellulose
19,-3.810840261095117,0.34% Cellulose
4.826433513424395,1.312026530897048,0.93% Cellulose
9.392150065425717,1.1502742735947036,0.93% Cellulose
12.402331999307899,1.115255822022521,0.93% Cellulose
17.189969627520284,1.0959235563708614,0.93% Cellulose
6.7663815299895465,3.7551526502544395,0.49% Cellulose
9.195366119307236,14.748719840326538,0.49% Cellulose
12.427834226112607,22.341343247694034,0.49% Cellulose
13.343212293519855,28.4336457262949,0.49% Cellulose
5.046245444630557,4.519243408289419,0.76% Cellulose
6.013435984128566,4.4235127157098,0.76% Cellulose
6.962747429514149,4.408206251536586,0.76% Cellulose
14.913439924219539,4.291988053164456,0.76% Cellulose
1,4.426728139724402,0.51% Cellulose
3,3.7530940373756283,0.51% Cellulose
6,3.6035804257615247,0.51% Cellulose
13,3.364876742800757,0.51% Cellulose
