Drying Temperature (°C),Modulus Of Elasticity (GPa)
8.114514113834478,9.167213271196166,PBA
8.260865460855522,10.410057901477138,PBA
8.653903885383336,9.809524912133407,PBA
9.161519050940532,11.015584161391496,PBA
11.25108576355352,10.962534316223266,PBA
15.28533948191144,8.761930670144606,PBA
17.675103507573343,18.38308490558594,PBA
8.114514113834478,-0.6791202019146806,PAM
8.260865460855522,-0.6271391294416852,PAM
8.653903885383336,-0.51821670209326,PAM
9.161519050940532,-0.7349651139406381,PAM
11.25108576355352,-0.7592107914922868,PAM
15.28533948191144,-0.8596061940452439,PAM
17.675103507573343,-0.8998253380314829,PAM
8.114514113834478,-3.4111282174837276,Polybenzimidazole
8.260865460855522,-3.4121351257082613,Polybenzimidazole
8.653903885383336,-3.410664296501265,Polybenzimidazole
9.161519050940532,-3.4281538193641183,Polybenzimidazole
11.25108576355352,-3.456824417888421,Polybenzimidazole
15.28533948191144,-3.4805052796319402,Polybenzimidazole
17.675103507573343,-3.4866931466826045,Polybenzimidazole
8.114514113834478,20.839233568098464,EPDM
8.260865460855522,17.235544291155207,EPDM
8.653903885383336,18.56186199814173,EPDM
9.161519050940532,35.020731375233936,EPDM
11.25108576355352,32.89094438577283,EPDM
15.28533948191144,27.030194747927215,EPDM
17.675103507573343,68.75952624679421,EPDM
8.114514113834478,-1.289491107478269,EPDM
8.260865460855522,-2.6649055256849543,EPDM
8.653903885383336,-2.625907173156166,EPDM
9.161519050940532,-0.9656959487645365,EPDM
11.25108576355352,0.06892172171220246,EPDM
15.28533948191144,1.4144679986518192,EPDM
17.675103507573343,-2.3534879040549104,EPDM
