Aspect Ratio,Viscosity (Pa·s)
0,4.022617460989826,0.52% cellulose nanocrystals/PMMA-PtBA
2,4.978280392999012,0.52% cellulose nanocrystals/PMMA-PtBA
7,12.6169362482938,0.52% cellulose nanocrystals/PMMA-PtBA
11,44.948493630111535,0.52% cellulose nanocrystals/PMMA-PtBA
17,136.95979197980876,0.52% cellulose nanocrystals/PMMA-PtBA
0,1.162959246821816,0.75% cellulose nanocrystals/PMMA-PtBA
2,0.7648343214084531,0.75% cellulose nanocrystals/PMMA-PtBA
7,0.49889703821092835,0.75% cellulose nanocrystals/PMMA-PtBA
11,0.2730727880995346,0.75% cellulose nanocrystals/PMMA-PtBA
17,0.12788522846926353,0.75% cellulose nanocrystals/PMMA-PtBA
0,5.909444914902217,0.2% cellulose nanocrystals/PMMA-PtBA
2,5.51526547610057,0.2% cellulose nanocrystals/PMMA-PtBA
7,5.245663494592786,0.2% cellulose nanocrystals/PMMA-PtBA
11,5.144897370469087,0.2% cellulose nanocrystals/PMMA-PtBA
17,5.116062368292143,0.2% cellulose nanocrystals/PMMA-PtBA
0,5.649310650764784,0.11% cellulose nanocrystals/PMMA-PtBA
2,6.2956470798654935,0.11% cellulose nanocrystals/PMMA-PtBA
7,5.243018576548786,0.11% cellulose nanocrystals/PMMA-PtBA
11,8.552247776730947,0.11% cellulose nanocrystals/PMMA-PtBA
17,5.185017374071442,0.11% cellulose nanocrystals/PMMA-PtBA
