Time (s),Thermal Stability (°C)
0,8.114235164673387,Graphite/Poly(vinyl acetate)
4,7.188091461313481,Graphite/Poly(vinyl acetate)
11,6.920517141185413,Graphite/Poly(vinyl acetate)
15,6.89269075840224,Graphite/Poly(vinyl acetate)
0,1.640203332140851,Cu(HO3PC6H5)2/Poly(vinyl acetate)
4,2.722997167007164,Cu(HO3PC6H5)2/Poly(vinyl acetate)
11,8.108757746659961,Cu(HO3PC6H5)2/Poly(vinyl acetate)
15,138.2517715471455,Cu(HO3PC6H5)2/Poly(vinyl acetate)
0,0.7557674625671982,HAF/Poly(vinyl acetate)
4,1.0820670049453398,HAF/Poly(vinyl acetate)
11,1.2996374246748013,HAF/Poly(vinyl acetate)
15,2.5278644937800805,HAF/Poly(vinyl acetate)
0,-0.9261649160467194,C.I. Pigment Black 6/Poly(vinyl acetate)
4,3.151326028520881,C.I. Pigment Black 6/Poly(vinyl acetate)
11,25.31012969096105,C.I. Pigment Black 6/Poly(vinyl acetate)
15,11.697995793111732,C.I. Pigment Black 6/Poly(vinyl acetate)
0,2.8565547942449596,Zinc oxide/Poly(vinyl acetate)
4,2.8002314576593808,Zinc oxide/Poly(vinyl acetate)
11,2.5696058493599514,Zinc oxide/Poly(vinyl acetate)
15,2.429592826905933,Zinc oxide/Poly(vinyl acetate)
