Shear Rate (1/s),Toughness (MJ/m³)
5,1.1280771644372063,0.73% Morrocan montmorillonite
9,1.002222391930828,0.73% Morrocan montmorillonite
11,0.97224245780947,0.73% Morrocan montmorillonite
12,0.9631805684931318,0.73% Morrocan montmorillonite
16,0.9443958083736996,0.73% Morrocan montmorillonite
5,-0.08621430471965918,0.84% Morrocan montmorillonite
9,1.7937667568226963,0.84% Morrocan montmorillonite
11,5.287180510420429,0.84% Morrocan montmorillonite
12,1.0427872805676135,0.84% Morrocan montmorillonite
16,-1.092299478272075,0.84% Morrocan montmorillonite
