Aging Time (h),Magnetic Susceptibility
3,2.9422368546388133,
4,2.8627961015136405,
7,2.6981572635725475,
10,2.6339161536385998,
18,2.582334787651192,
3,0.7832825191546802,
4,0.600534204324103,
7,0.503296275643033,
10,0.4302493213503137,
18,0.22469302399826,
3,1.100690487367122,
4,3.216405899180918,
7,4.501000788682444,
10,23.060851664053757,
18,176.87589822432224,
3,-1.6263816611953823,
4,-1.7592540577522071,
7,-1.8511246459126534,
10,-1.9381009061574712,
18,-1.9858760762913488,
3,-6.2470069042056515,
4,-6.285932926596924,
7,-6.452515452974106,
10,-6.531701337210496,
18,-6.574773361607066,
