Rotational Speed (rpm),Magnetoresistance
1,-3.0440475038962265,Molybdenum Disulfide/PVC-P
2,-3.4845743343418882,Molybdenum Disulfide/PVC-P
10,-1.5783150801674353,Molybdenum Disulfide/PVC-P
1,-6.641244245453642,Graphite Nanoplatelets/PVC-P
2,-6.733906594781444,Graphite Nanoplatelets/PVC-P
10,-7.336148120691212,Graphite Nanoplatelets/PVC-P
1,1.4908885982016076,Magnesium oxide/PVC-P
2,1.34566597590573,Magnesium oxide/PVC-P
10,0.9936424257927275,Magnesium oxide/PVC-P
1,-2.2099656598994675,SWNT/PVC-P
2,-2.0681027886204886,SWNT/PVC-P
10,19.87858498772671,SWNT/PVC-P
