Young’s Modulus (GPa),Flexural Strength (MPa)
3.8574922608573914,-0.03351229917168491,0.72% Clay/Nylon 11
4.300138851319442,-0.07251073103071315,0.72% Clay/Nylon 11
17.054005519193108,-0.28193846795695154,0.72% Clay/Nylon 11
3.8574922608573914,1.4130326948718355,0.14% Clay/Nylon 11
4.300138851319442,1.1162175457606272,0.14% Clay/Nylon 11
17.054005519193108,30.687476169027015,0.14% Clay/Nylon 11
3.8574922608573914,6.524940492740831,0.13% Clay/Nylon 11
4.300138851319442,6.516170301947387,0.13% Clay/Nylon 11
17.054005519193108,6.217912842671816,0.13% Clay/Nylon 11
3.8574922608573914,5.714703899362704,0.94% Clay/Nylon 11
4.300138851319442,5.691176936798782,0.94% Clay/Nylon 11
17.054005519193108,5.415542987575009,0.94% Clay/Nylon 11
3.8574922608573914,6.272457567606416,0.56% Clay/Nylon 11
4.300138851319442,7.295358539740983,0.56% Clay/Nylon 11
17.054005519193108,-135.0225804899498,0.56% Clay/Nylon 11
