Magnetic Field Strength (T),Tan Delta
3,7.317784796269904,
4,7.108406177083964,
5,7.155993440054836,
7,7.03568969507045,
8,7.00214403646692,
3,0.7106791186807029,
4,0.7451703940429748,
5,0.5832924542137466,
7,0.5101976394939466,
8,0.47516543648241216,
3,1.3651873446631826,
4,3.4758544518143246,
5,4.668324509794642,
7,8.984582988598616,
8,16.555175294137115,
3,-2.106506566378333,
4,-2.7255748791941397,
5,-1.226018138736793,
7,-3.0546334045917485,
8,-0.2898694866080058,
3,1.9122299329281935,
4,1.7932724821104884,
5,1.739558227104196,
7,1.6858131811743342,
8,1.6345259651986457,
