Heat Capacity (J/K),Compression Strength (MPa)
4.044989355925894,7.588690297631259,Montmorillonite/PVB
8.634673559242522,7.375294703312387,Montmorillonite/PVB
11.781856330367841,7.33005428423148,Montmorillonite/PVB
16.46729187061648,7.307234359736317,Montmorillonite/PVB
18.48016234193404,7.303921020289816,Montmorillonite/PVB
4.044989355925894,-0.25565077479321996,Titanium dioxide/PVB
8.634673559242522,0.004361837337098606,Titanium dioxide/PVB
11.781856330367841,-2.9537531468880487,Titanium dioxide/PVB
16.46729187061648,2.1150334563726934,Titanium dioxide/PVB
18.48016234193404,8.416455172629385,Titanium dioxide/PVB
4.044989355925894,2.0256813562773406,Aluminium oxide/PVB
8.634673559242522,3.837014279499052,Aluminium oxide/PVB
11.781856330367841,1.1963781752660085,Aluminium oxide/PVB
16.46729187061648,-3.1998033381373636,Aluminium oxide/PVB
18.48016234193404,2.968069175247214,Aluminium oxide/PVB
4.044989355925894,-0.26371070168516875,"Iron (II,III) Oxide/PVB"
8.634673559242522,-0.701438775897947,"Iron (II,III) Oxide/PVB"
11.781856330367841,-0.8126964003049728,"Iron (II,III) Oxide/PVB"
16.46729187061648,-0.9351521982233109,"Iron (II,III) Oxide/PVB"
18.48016234193404,-0.9589225693133077,"Iron (II,III) Oxide/PVB"
