Thermal Diffusivity (mm²/s),Complex Modulus (Pa)
10,3.5260157785745356,0.31% Calcium carbonate/EPDM rubber
15,2.80156570481466,0.31% Calcium carbonate/EPDM rubber
17,-224.53036048687855,0.31% Calcium carbonate/EPDM rubber
19,882.4909537987683,0.31% Calcium carbonate/EPDM rubber
9.58282258236271,12.358467045642959,0.89% Calcium carbonate/EPDM rubber
12.84619232214884,7.925605393252889,0.89% Calcium carbonate/EPDM rubber
13.20526091907029,13.542044426770346,0.89% Calcium carbonate/EPDM rubber
14.51234171052306,14.02993916509166,0.89% Calcium carbonate/EPDM rubber
5.679779318457143,6.063139688130961,0.45% Calcium carbonate/EPDM rubber
7.651470898196109,7.13209444386124,0.45% Calcium carbonate/EPDM rubber
14.836337197876153,7.990058710325596,0.45% Calcium carbonate/EPDM rubber
16.91554424851324,12.978478674851772,0.45% Calcium carbonate/EPDM rubber
