Holding Time (min),Thermal Diffusivity (mm²/s)
3,3.9000652318274405,
4,3.75009817871844,
7,3.479289570941114,
8,3.4654109044944197,
15,3.2702857881349257,
18,3.2109822174368747,
3,5.774187879506807,
4,5.84814950852792,
7,5.618680334253811,
8,5.548427498750356,
15,5.346649701668465,
18,5.276535960503046,
3,-1.3556488754555542,
4,3.504601878156815,
7,6.8446400791771165,
8,17.856399916514647,
15,159.11517950536143,
18,16.125854526729434,
3,8.300003703839653,
4,8.189803617434235,
7,8.001395354557673,
8,7.971992855685209,
15,7.892807088832742,
18,7.885711332656484,
