Particle Size (nm),Charge Transfer Resistance (Ω·m²)
1.514225206089641,-3.2134639141824017,0.68% calcium carbonate
4.164598276044744,-3.6648067800559763,0.68% calcium carbonate
12.524336973001798,-3.9424742358688056,0.68% calcium carbonate
17.79393147585311,-3.960843903871454,0.68% calcium carbonate
2,5.0937764997943695,0.81% calcium carbonate
3,6.234984167754446,0.81% calcium carbonate
7,12.978823304341736,0.81% calcium carbonate
17,7.002566003151115,0.81% calcium carbonate
4,3.090898659639172,0.13% calcium carbonate
8,2.872314726690347,0.13% calcium carbonate
13,2.799660011947378,0.13% calcium carbonate
16,2.79006137286613,0.13% calcium carbonate
1,8.250147606688568,0.37% calcium carbonate
6,7.974080603568179,0.37% calcium carbonate
8,8.522558525860905,0.37% calcium carbonate
11,12.750249035028109,0.37% calcium carbonate
6,-3.7311446630598466,0.17% calcium carbonate
11,-3.8549005203953928,0.17% calcium carbonate
13,-3.8677770934120432,0.17% calcium carbonate
18,-3.8839478052207297,0.17% calcium carbonate
