Heat Capacity (J/K),Specific Viscosity
1.4316377838196015,1.731594730576663,graphene platelets/Poly(butyl acrylate)
5.58917468267558,1.320144314802109,graphene platelets/Poly(butyl acrylate)
7.4727374680774155,1.2742936954080613,graphene platelets/Poly(butyl acrylate)
10.256688317489704,1.2116980435836484,graphene platelets/Poly(butyl acrylate)
19.35079374812282,1.1712325746388803,graphene platelets/Poly(butyl acrylate)
1.4316377838196015,5.848597283834405,Acetylene black/Poly(butyl acrylate)
5.58917468267558,9.87429999818896,Acetylene black/Poly(butyl acrylate)
7.4727374680774155,21.359473446962106,Acetylene black/Poly(butyl acrylate)
10.256688317489704,27.28980151905832,Acetylene black/Poly(butyl acrylate)
19.35079374812282,268.0339872630432,Acetylene black/Poly(butyl acrylate)
1.4316377838196015,-5.178751535275113,Barium strontium titanate/Poly(butyl acrylate)
5.58917468267558,-5.2624910891236905,Barium strontium titanate/Poly(butyl acrylate)
7.4727374680774155,-5.404806036144223,Barium strontium titanate/Poly(butyl acrylate)
10.256688317489704,-5.460994403175565,Barium strontium titanate/Poly(butyl acrylate)
19.35079374812282,-5.694253513956316,Barium strontium titanate/Poly(butyl acrylate)
1.4316377838196015,-3.2032845704459065,Calcium carbonate/Poly(butyl acrylate)
5.58917468267558,-3.3702016110177233,Calcium carbonate/Poly(butyl acrylate)
7.4727374680774155,-3.4041556782825504,Calcium carbonate/Poly(butyl acrylate)
10.256688317489704,-3.588786914700627,Calcium carbonate/Poly(butyl acrylate)
19.35079374812282,-3.8397675937390066,Calcium carbonate/Poly(butyl acrylate)
1.4316377838196015,1.8841017962727569,Silver nitrate/Poly(butyl acrylate)
5.58917468267558,1.513361955368267,Silver nitrate/Poly(butyl acrylate)
7.4727374680774155,1.4315172225921144,Silver nitrate/Poly(butyl acrylate)
10.256688317489704,1.37210670155081,Silver nitrate/Poly(butyl acrylate)
19.35079374812282,1.3292622127250358,Silver nitrate/Poly(butyl acrylate)
