Synthesis Time (min),Particle Size Distribution
6.065067417775429,2.9772704383954802,0.11% magnesium oxide/Polybutadiene
11.210359006215253,2.6937010088875457,0.11% magnesium oxide/Polybutadiene
14.616848999811172,2.6400769545963434,0.11% magnesium oxide/Polybutadiene
15.99381620780273,2.614203320643073,0.11% magnesium oxide/Polybutadiene
1,-6.579011088406981,0.92% magnesium oxide/Polybutadiene
4,-6.930835355320106,0.92% magnesium oxide/Polybutadiene
16,-7.209227018449766,0.92% magnesium oxide/Polybutadiene
17,-7.211754800680031,0.92% magnesium oxide/Polybutadiene
1.4868697254596275,4.1205541106539005,0.99% magnesium oxide/Polybutadiene
8.611922604252163,21.142790302080908,0.99% magnesium oxide/Polybutadiene
19.221333778039266,427.48272604633564,0.99% magnesium oxide/Polybutadiene
19.715165254173936,1216.4075214055056,0.99% magnesium oxide/Polybutadiene
