Evaporation Temperature (°C),Zeta Potential (mV)
1,-7.093188436184621,0.84% Channel black
6,-7.374168038688306,0.84% Channel black
14,-7.653912817980855,0.84% Channel black
1,0.4036609416422723,0.22% Channel black
6,5.939062210203295,0.22% Channel black
14,111.8055446731173,0.22% Channel black
1,-0.4951492492954104,0.63% Channel black
6,-0.8945979401032734,0.63% Channel black
14,-1.2006209838965882,0.63% Channel black
1,8.945559956413016,0.76% Channel black
6,13.011651440262614,0.76% Channel black
14,137.49033079904567,0.76% Channel black
