Crosslinking Density (mol/m³),Shear Strength (MPa)
1,1.7678527908188246,Lamp black/PHFP
11,1.23522891289203,Lamp black/PHFP
12,1.1973247905621411,Lamp black/PHFP
19,1.038894190965063,Lamp black/PHFP
1,-1.7565266597162803,Magnesium oxide/PHFP
11,-2.2955158292972926,Magnesium oxide/PHFP
12,-2.312869845588537,Magnesium oxide/PHFP
19,-2.4856330253699253,Magnesium oxide/PHFP
1,-6.1691831060577895,carbon nanofibers/PHFP
11,-6.260814970695293,carbon nanofibers/PHFP
12,19.160265529724327,carbon nanofibers/PHFP
19,139.5818794259951,carbon nanofibers/PHFP
1,-6.594175503650485,Carbon nanofibers/PHFP
11,-7.478678030274953,Carbon nanofibers/PHFP
12,-7.5129553931056545,Carbon nanofibers/PHFP
19,-7.66111326812974,Carbon nanofibers/PHFP
1,-6.57653233229224,zirconium dioxide/PHFP
11,20.432087085962902,zirconium dioxide/PHFP
12,1.109042018598263,zirconium dioxide/PHFP
19,106.39651769763458,zirconium dioxide/PHFP
