Holding Time (min),Heat Capacity (J/K)
5,0.5291343318140593,HAF/DGEBA Epoxy Resin
11,1.0776254326710324,HAF/DGEBA Epoxy Resin
12,4.828128318954711,HAF/DGEBA Epoxy Resin
17,4.706979280925159,HAF/DGEBA Epoxy Resin
5,-2.25675001226297,multi-wall carbon nanotubes/DGEBA Epoxy Resin
11,-1.9371795733910595,multi-wall carbon nanotubes/DGEBA Epoxy Resin
12,-4.9692972611394355,multi-wall carbon nanotubes/DGEBA Epoxy Resin
17,11.457112019180478,multi-wall carbon nanotubes/DGEBA Epoxy Resin
5,8.734254506214855,Titanate nanotubes/DGEBA Epoxy Resin
11,27.293364649078672,Titanate nanotubes/DGEBA Epoxy Resin
12,20.59807528732628,Titanate nanotubes/DGEBA Epoxy Resin
17,210.40809911122614,Titanate nanotubes/DGEBA Epoxy Resin
