Neutron Flux (n/cm²/s),Zero-shear Viscosity (Pa·s)
0,4.1970379830961,
6,3.350923634717513,
7,3.361870593149979,
16,3.2346381241213336,
0,-3.7255873289611037,
9,14.843028261453156,
13,37.61805884789334,
15,10.849333126469048,
1.8500051468517764,-6.049352097675406,
4.237093216875156,-5.09883345810891,
4.703517740625851,-5.913688193848493,
15.849490616540907,68.12944303979782,
0,-6.259833918331588,
1,-6.513782546099907,
4,-4.734967594906207,
10,-4.118595021242379,
2,3.078360682764063,
11,2.5640463758532483,
18,2.528509465717215,
19,2.527525469662306,
