Softening Temperature (°C),Thermal Conductivity (W/(m·K))
3,-5.053215192264325,polyaniline/Polyamide-imide
4,-5.05844581648145,polyaniline/Polyamide-imide
12,-5.51090493349152,polyaniline/Polyamide-imide
14,-5.567044459750602,polyaniline/Polyamide-imide
3,-0.41457007097655074,Thermal black/Polyamide-imide
4,-0.8996390960666192,Thermal black/Polyamide-imide
12,-0.09240450217817653,Thermal black/Polyamide-imide
14,-39.851514407254484,Thermal black/Polyamide-imide
3,8.938730239885205,magnesium oxide/Polyamide-imide
4,8.941018985391729,magnesium oxide/Polyamide-imide
12,10.678503981500265,magnesium oxide/Polyamide-imide
14,11.916285436541735,magnesium oxide/Polyamide-imide
3,-0.5338817137701937,silver hexafluoroantimonate/Polyamide-imide
4,-0.6796251800230593,silver hexafluoroantimonate/Polyamide-imide
12,0.8838697811443943,silver hexafluoroantimonate/Polyamide-imide
14,-1.4594457738289899,silver hexafluoroantimonate/Polyamide-imide
