Electron Beam Dose (Gy),Electric Field Strength (V/m)
0,-3.9814770919054245,Titanium dioxide/Epoxy novolac viny ester resin
2,-3.339399337408581,Titanium dioxide/Epoxy novolac viny ester resin
9,8.605697424656132,Titanium dioxide/Epoxy novolac viny ester resin
17,127.3078925158656,Titanium dioxide/Epoxy novolac viny ester resin
0,-5.058152937719313,GO/Epoxy novolac viny ester resin
2,-3.843253852791645,GO/Epoxy novolac viny ester resin
9,12.153878111258384,GO/Epoxy novolac viny ester resin
17,44.899691448178366,GO/Epoxy novolac viny ester resin
0,6.433000309164328,Au/Epoxy novolac viny ester resin
2,6.697673165801806,Au/Epoxy novolac viny ester resin
9,31.800403500828388,Au/Epoxy novolac viny ester resin
17,148.50072375663325,Au/Epoxy novolac viny ester resin
0,4.279879871499925,nanosilica/Epoxy novolac viny ester resin
2,4.800307565388002,nanosilica/Epoxy novolac viny ester resin
9,17.326283664113934,nanosilica/Epoxy novolac viny ester resin
17,543.3018627352488,nanosilica/Epoxy novolac viny ester resin
0,6.6231168836510435,OFG/Epoxy novolac viny ester resin
2,7.648611205212147,OFG/Epoxy novolac viny ester resin
9,7.2664399000932285,OFG/Epoxy novolac viny ester resin
17,248.41957394113666,OFG/Epoxy novolac viny ester resin
