Rotational Speed (rpm),Bet Surface Area
1,4.183414061420182,Poly(styrene-co-acrylonitrile)
5,6.472226802874579,Poly(styrene-co-acrylonitrile)
8,11.143162158571236,Poly(styrene-co-acrylonitrile)
10,36.088939587700395,Poly(styrene-co-acrylonitrile)
14,64.19307388436417,Poly(styrene-co-acrylonitrile)
15,115.17776407610755,Poly(styrene-co-acrylonitrile)
17,377.96013526291534,Poly(styrene-co-acrylonitrile)
1,7.063127287365495,DGEBF Epoxy Resin
5,7.088827093636336,DGEBF Epoxy Resin
8,6.870983290448703,DGEBF Epoxy Resin
10,6.796164484096531,DGEBF Epoxy Resin
14,6.699781355903764,DGEBF Epoxy Resin
15,6.649602134756836,DGEBF Epoxy Resin
17,6.625072717783359,DGEBF Epoxy Resin
1,2.37941929688417,PHEA
5,1.53697139641634,PHEA
8,1.4113727045850117,PHEA
10,1.3609830513008019,PHEA
14,1.3231824016788925,PHEA
15,1.318684450165542,PHEA
17,1.314635533591457,PHEA
1,-6.951507846907252,PDMS
5,-7.398617883567673,PDMS
8,-7.548758578713007,PDMS
10,-7.576534531846449,PDMS
14,-7.614457060530232,PDMS
15,-7.617579671598275,PDMS
17,-7.622266226448969,PDMS
